CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2013-01-01,12,9,6,8,7,5,93,86,76,1022,1017,1014,31,10,5,26,14,,5.08,7,Rain,234
2013-01-02,9,7,4,6,4,2,93,86,71,1035,1028,1022,31,11,10,23,16,,0,5,,298
2013-01-03,8,4,0,4,2,-1,100,87,69,1042,1039,1035,19,10,10,13,5,,0,5,,118
2013-01-04,7,6,5,7,6,4,100,94,83,1042,1039,1037,10,6,1,10,5,,0,8,Fog,292
2013-01-05,7,6,5,6,6,4,100,94,90,1038,1035,1034,11,9,2,16,8,,0,8,,306
2013-01-06,5,4,4,4,4,3,100,92,85,1035,1032,1029,19,9,3,11,8,,0,8,,306
2013-01-07,4,3,3,4,3,2,100,96,92,1030,1028,1026,10,5,1,11,6,,0,8,Fog,324
2013-01-08,5,3,2,3,2,1,100,91,84,1031,1029,1028,31,10,6,11,6,,0,8,Rain,289
2013-01-09,5,4,4,3,2,2,93,86,79,1028,1024,1022,31,11,6,8,3,,0,8,,63
2013-01-10,12,8,4,10,6,3,94,86,77,1024,1022,1019,26,10,6,32,10,,0.76,7,Rain,255
2013-01-11,11,7,2,7,4,0,87,78,54,1025,1023,1020,31,10,6,34,18,,0,5,Rain,282
2013-01-12,11,6,0,6,2,-1,93,85,62,1021,1016,1012,31,10,6,24,6,,0,7,Rain,178
2013-01-13,7,6,4,5,4,2,100,91,81,1017,1012,1010,23,10,6,27,10,,10.92,7,Rain,270
2013-01-14,4,2,1,4,0,-4,93,76,56,1020,1017,1016,31,11,8,32,19,,0,7,,294
2013-01-15,8,4,1,5,1,-2,93,76,50,1015,1012,1008,10,9,3,37,18,,4.06,6,Rain,278
2013-01-16,3,2,1,2,1,0,100,91,71,1014,1007,1001,11,7,2,19,13,,19.05,8,Rain-Snow,15
2013-01-17,2,-1,-3,-1,-3,-5,93,80,65,1017,1014,1009,18,10,7,23,13,,0,5,,314
2013-01-18,5,1,-3,4,-1,-5,100,87,75,1014,1004,994,10,8,3,24,6,27,2.03,8,Rain-Snow,136
2013-01-19,9,6,3,7,5,2,93,91,82,996,985,979,14,9,5,34,19,,0.51,8,Rain,139
2013-01-20,5,2,0,7,2,-1,100,85,67,1001,994,981,14,8,1,42,19,66,6.1,7,Fog-Rain-Snow,266
2013-01-21,8,4,1,4,2,-1,93,83,68,1009,1003,998,31,10,5,40,18,61,2.03,6,Rain,239
2013-01-22,8,3,-2,3,1,-2,93,82,48,1010,1004,1002,26,11,10,16,8,,0.25,6,Rain,126
2013-01-23,8,4,1,5,2,0,93,83,70,1010,1006,1003,31,11,10,34,14,,0.51,7,Rain,263
2013-01-24,6,3,2,3,2,1,100,86,71,1016,1008,1003,31,10,5,29,10,,3.05,7,Rain,298
2013-01-25,4,2,-1,1,0,-2,100,85,65,1019,1016,1011,23,10,3,24,14,,0,6,,299
2013-01-26,8,3,-1,8,4,-2,100,91,81,1022,1014,1008,26,8,0,32,11,,0.51,7,Fog-Rain-Snow,252
2013-01-27,8,4,0,7,3,0,100,92,81,1020,1014,1010,19,7,0,34,6,50,1.02,7,Fog-Rain,160
2013-01-28,12,9,5,8,6,4,93,83,70,1026,1022,1016,26,10,10,29,19,,5.08,6,Rain,266
2013-01-29,13,8,3,8,4,2,93,80,58,1027,1026,1025,31,10,3,10,5,,0,5,Fog,152
2013-01-30,18,11,3,10,6,1,93,75,48,1029,1025,1023,26,10,7,19,5,,0,4,Rain,197
2013-01-31,17,12,7,12,10,6,100,85,57,1030,1028,1026,26,10,0,21,6,,0,7,Fog-Rain,249
2013-02-01,17,13,11,12,9,7,100,79,55,1026,1015,1005,31,10,6,27,8,,0.25,7,Rain,224
2013-02-02,8,6,4,8,3,-1,93,80,66,1020,1010,1003,31,11,6,47,31,60,0.76,6,Rain,300
2013-02-03,6,3,1,-1,-2,-3,81,67,51,1031,1027,1020,31,10,10,39,29,,0,4,,282
2013-02-04,12,8,3,10,6,-2,94,82,50,1031,1027,1026,19,10,1,24,16,,2.03,7,Rain,255
2013-02-05,13,9,5,9,6,1,94,81,53,1026,1021,1015,26,10,1,58,24,95,2.03,7,Rain-Thunderstorm,269
2013-02-06,8,6,3,4,3,2,93,84,71,1015,1011,1008,19,10,3,40,26,108,11.94,6,Rain-Thunderstorm,271
2013-02-07,7,4,2,3,-1,-3,93,71,47,1023,1020,1014,31,11,10,39,27,,0,7,Rain,301
2013-02-08,4,3,1,2,1,-1,93,85,76,1021,1017,1015,31,11,6,19,11,,1.02,7,Rain,293
2013-02-09,6,3,1,4,1,-2,93,83,46,1024,1022,1019,19,10,6,27,18,,0.51,7,Rain,285
2013-02-10,12,8,4,6,4,3,93,84,49,1019,1010,1002,19,10,6,27,16,,3.05,7,Rain,215
2013-02-11,7,4,3,3,2,1,93,83,70,1005,1002,1001,26,10,6,34,23,52,3.05,7,Rain,248
2013-02-12,9,6,2,4,2,1,93,82,59,1017,1011,1001,19,10,5,27,19,,0.51,7,Rain,282
2013-02-13,8,6,4,4,3,2,93,78,56,1024,1021,1017,31,11,10,24,14,,0,8,Rain,298
2013-02-14,13,9,6,10,7,3,94,84,67,1024,1022,1020,31,10,2,27,10,,0.51,7,Rain,269
2013-02-15,12,8,4,8,4,1,93,77,48,1024,1022,1020,31,11,7,26,16,,0.25,5,Rain,303
2013-02-16,12,6,1,3,0,-2,93,70,34,1024,1020,1018,31,10,0,8,3,,0,4,Fog,5
2013-02-17,12,6,1,4,1,-2,87,69,46,1019,1014,1012,31,11,10,26,10,,0,1,,127
2013-02-18,12,7,2,7,4,0,93,82,64,1015,1013,1011,19,10,6,29,13,,0,5,,123
2013-02-19,13,8,2,6,4,1,93,77,53,1016,1014,1012,14,9,6,26,10,,0,2,,109
2013-02-20,14,7,1,4,2,-2,93,73,38,1014,1013,1011,26,9,0,10,5,,0,2,Fog,164
2013-02-21,13,7,0,4,1,-4,93,70,45,1013,1008,1005,14,10,8,21,8,,0,2,,270
2013-02-22,6,1,-3,-4,-6,-7,80,62,42,1006,1004,1003,24,11,10,23,13,34,0,3,,303
2013-02-23,-1,-2,-4,-6,-8,-10,74,63,46,1017,1011,1004,14,10,6,35,21,,0,6,Snow,301
2013-02-24,1,-1,-2,-1,-6,-9,93,72,49,1021,1018,1017,10,7,2,34,24,50,0,8,Snow,288
2013-02-25,2,1,-1,0,-1,-2,93,90,75,1022,1020,1018,10,6,1,23,19,,0.25,7,Rain-Snow,279
2013-02-26,4,1,-2,-1,-2,-4,100,83,61,1024,1023,1021,10,7,3,11,6,,0,6,,322
2013-02-27,8,1,-7,1,-2,-8,100,81,47,1026,1023,1021,10,4,0,10,3,,0,3,Fog,354
2013-02-28,12,5,-2,2,0,-4,93,71,46,1023,1020,1018,31,9,3,26,8,,0,4,,88
2013-03-01,13,8,2,1,0,-1,81,61,33,1019,1017,1016,31,11,9,26,8,,0,4,,302
2013-03-02,9,4,0,1,-1,-2,87,71,50,1021,1019,1018,11,8,5,23,13,,0,,,296
2013-03-03,14,7,-1,5,1,-2,93,73,44,1020,1016,1013,13,8,2,23,8,,0,1,,140
2013-03-04,15,11,7,7,6,4,87,69,39,1013,1008,1005,19,10,5,58,29,87,0,3,,121
2013-03-05,14,12,11,9,8,6,88,73,58,1005,1001,998,29,11,10,60,50,93,2.03,8,Rain,112
2013-03-06,12,11,10,9,8,7,88,83,72,999,996,995,31,11,10,45,31,64,2.03,7,Rain,122
2013-03-07,18,13,8,12,9,7,93,79,60,1001,999,995,18,10,10,37,19,60,3.05,6,Rain,138
2013-03-08,18,14,11,10,7,6,94,67,43,1005,1003,998,31,11,7,32,18,52,3.05,6,Rain,274
2013-03-09,17,13,9,10,7,4,94,69,36,1005,1004,1003,31,10,5,14,6,,0,7,Rain,145
2013-03-10,18,12,6,8,6,3,93,67,39,1004,1001,999,31,10,10,19,6,,0,4,,241
2013-03-11,16,12,8,7,5,3,87,65,39,1002,1000,997,31,10,10,35,10,60,0,4,Rain,250
2013-03-12,11,8,5,6,3,1,82,70,54,1003,1001,999,31,11,9,32,21,,1.02,6,Rain,289
2013-03-13,1,0,-1,1,-1,-3,100,87,66,1013,1006,1000,31,8,2,34,21,,0.51,7,Rain-Snow,288
2013-03-14,7,3,-1,0,-2,-4,87,71,40,1017,1013,1012,26,10,9,37,24,,0,6,Snow,291
2013-03-15,9,3,-2,-2,-3,-5,86,61,32,1021,1019,1017,31,11,10,23,13,,0,3,,300
2013-03-16,12,6,-1,4,0,-4,81,63,40,1017,1010,1005,26,10,8,35,13,,0,7,Rain,140
2013-03-17,11,8,6,9,6,3,93,85,70,1006,1001,998,26,10,9,16,6,,4.06,7,Rain,194
2013-03-18,9,6,3,5,3,1,93,80,62,1006,1001,998,11,10,7,50,18,77,1.02,6,Rain,254
2013-03-19,14,9,4,6,4,1,93,71,41,1007,1004,1001,31,11,10,29,14,,0,5,Rain,163
2013-03-20,13,10,5,7,6,2,93,77,45,1018,1010,1002,10,10,10,34,16,48,1.02,6,Rain,273
2013-03-21,18,9,1,6,3,0,100,68,27,1019,1014,1011,31,11,10,24,11,,0,3,,146
2013-03-22,16,11,7,10,7,4,88,74,53,1010,1005,1002,26,10,10,37,21,,0,6,,145
2013-03-23,16,12,9,10,9,8,94,81,67,1008,1004,1001,26,10,9,27,11,,0.25,7,Rain,132
2013-03-24,17,12,8,10,8,6,100,76,48,1004,1001,999,31,10,5,24,6,,0,6,,204
2013-03-25,16,13,10,9,7,4,94,75,49,1007,1005,1002,26,10,10,32,19,,0.25,6,Rain,282
2013-03-26,15,12,8,8,7,6,93,78,53,1005,1004,1002,19,10,5,16,10,,3.05,6,Rain,285
2013-03-27,14,11,8,7,6,4,87,69,48,1004,1002,1001,18,10,7,23,10,,0.51,7,Rain,137
2013-03-28,12,10,8,10,8,6,100,87,70,1010,1006,1003,18,10,5,26,10,,0.51,8,Rain,233
2013-03-29,19,13,7,12,9,6,100,77,45,1009,1005,1001,31,9,3,29,10,,0.51,5,Rain,132
2013-03-30,15,12,10,12,9,7,100,83,58,1010,1005,1000,31,10,4,42,19,63,5.08,6,Rain-Thunderstorm,280
2013-03-31,14,11,8,8,6,4,93,75,49,1010,1007,1000,26,10,6,21,14,,0.76,6,Rain,331
2013-04-01,11,9,7,9,5,1,94,75,54,1001,999,996,18,9,2,27,14,48,3.05,7,Rain,159
2013-04-02,13,11,9,9,7,4,94,76,49,1010,1005,1001,31,10,6,34,24,,3.05,6,Rain,270
2013-04-03,16,9,3,6,4,3,100,69,36,1011,1006,1001,19,10,6,16,10,,0,2,,91
2013-04-04,12,10,8,9,7,5,100,80,63,1005,1000,998,26,9,0,27,11,,7.87,8,Fog-Rain,148
2013-04-05,9,7,5,6,2,1,93,73,51,1011,1008,1005,16,9,5,35,18,,0.51,7,Rain,275
2013-04-06,7,4,2,4,3,1,93,82,70,1021,1015,1011,24,9,5,29,16,,2.03,7,Rain,297
2013-04-07,11,8,4,3,2,1,81,69,51,1022,1017,1011,11,9,3,24,11,,0,7,,311
2013-04-08,14,10,6,8,5,3,93,75,52,1011,1009,1008,31,9,3,35,11,48,2.03,6,Rain,240
2013-04-09,14,9,5,8,6,4,87,72,53,1014,1009,1005,10,10,10,27,13,47,0,7,Rain,236
2013-04-10,20,14,8,8,6,4,82,61,33,1016,1013,1010,31,11,10,21,8,,0,3,,170
2013-04-11,21,16,10,12,9,7,94,77,52,1012,1009,1005,31,11,10,52,13,,1.02,6,Rain,175
2013-04-12,18,13,8,9,8,6,94,74,41,1019,1015,1012,31,10,7,32,8,,0,4,Rain,250
2013-04-13,22,16,9,9,8,6,88,61,30,1022,1020,1019,26,10,10,23,8,,0,7,Rain,127
2013-04-14,21,16,10,12,9,6,82,64,40,1022,1021,1019,31,11,10,39,21,50,0,1,,138
2013-04-15,22,17,11,12,10,8,82,68,49,1023,1021,1020,31,11,10,24,16,,0,5,,154
2013-04-16,24,18,11,14,12,10,94,70,44,1024,1022,1021,31,11,10,16,6,,0,2,,272
2013-04-17,26,19,12,13,11,7,94,61,35,1022,1020,1018,14,10,10,32,11,,0,1,,148
2013-04-18,17,14,13,12,10,6,88,75,52,1026,1024,1021,31,11,10,23,14,,0,8,,295
2013-04-19,12,10,8,8,6,4,93,76,57,1029,1027,1025,19,10,10,24,18,,2.03,8,Rain,277
2013-04-20,15,10,6,6,3,1,87,62,31,1028,1025,1022,31,10,10,34,21,,0,4,,300
2013-04-21,16,9,3,5,3,1,87,60,36,1024,1021,1019,31,11,10,23,11,,0,7,,295
2013-04-22,16,11,6,5,3,1,76,56,29,1022,1020,1019,10,10,10,27,18,,0,3,,294
2013-04-23,18,12,7,8,6,4,87,63,34,1025,1024,1022,26,10,10,16,10,,0,5,,311
2013-04-24,21,14,7,8,5,3,87,55,26,1025,1024,1023,31,11,10,40,11,61,0,1,,111
2013-04-25,23,18,12,10,7,4,63,50,30,1024,1021,1019,31,11,10,42,16,,0,5,,108
2013-04-26,16,13,11,12,11,10,94,79,56,1019,1016,1013,26,10,5,29,19,,2.03,7,Rain,231
2013-04-27,9,8,6,10,6,2,94,84,69,1013,1011,1010,27,10,2,27,16,32,10.92,7,Rain,271
2013-04-28,10,7,4,5,4,2,87,78,57,1017,1014,1012,31,11,10,16,10,,0.51,7,,259
2013-04-29,10,8,5,7,5,3,100,83,59,1017,1016,1014,31,10,3,13,5,,14.99,8,Rain,264
2013-04-30,13,10,7,10,8,7,100,90,77,1015,1013,1010,21,9,5,11,6,,0.51,8,Rain,205
2013-05-01,18,14,9,11,8,6,100,75,36,1017,1016,1014,31,9,2,14,6,,0.51,6,Fog-Rain,308
2013-05-02,17,13,9,10,9,7,94,78,55,1020,1018,1017,18,10,10,27,13,,0.25,7,Rain-Thunderstorm,288
2013-05-03,18,14,11,11,9,8,94,79,56,1021,1020,1019,31,11,10,23,18,,0,6,Rain,275
2013-05-04,19,13,8,10,9,7,94,70,41,1023,1021,1020,26,11,10,19,13,,0,4,,298
2013-05-05,22,16,9,9,7,6,87,57,31,1022,1020,1019,29,10,10,16,11,,0,1,,296
2013-05-06,24,16,8,10,6,2,87,52,18,1020,1019,1016,31,10,10,16,8,,0,1,,297
2013-05-07,21,17,14,15,12,6,82,70,48,1018,1017,1016,21,10,10,16,6,,0,7,Rain,331
2013-05-08,24,19,14,15,14,12,94,77,42,1019,1015,1014,27,10,10,34,6,27,2.03,6,Rain,230
2013-05-09,18,16,13,16,14,11,94,85,68,1020,1016,1014,31,10,6,39,10,,2.03,7,Rain,351
2013-05-10,17,13,10,12,8,5,100,71,41,1023,1022,1021,31,11,10,23,16,,1.02,7,Rain,302
2013-05-11,17,13,9,8,6,5,82,64,38,1024,1022,1021,31,10,10,27,18,,0,6,,285
2013-05-12,16,13,10,9,8,6,88,69,46,1025,1024,1023,26,10,10,27,18,,0,8,,294
2013-05-13,18,14,11,9,8,7,82,65,46,1025,1023,1020,31,10,10,14,10,,0,7,,316
2013-05-14,22,14,7,13,9,6,87,70,45,1019,1012,1004,31,11,10,26,8,,0,3,,92
2013-05-15,12,10,8,12,9,6,94,86,71,1006,1005,1004,27,10,4,27,14,,10.92,7,Rain,277
2013-05-16,16,11,7,9,6,5,93,76,48,1005,1002,999,10,10,10,26,10,,0.51,7,Rain,259
2013-05-17,19,12,4,8,6,3,100,69,35,1001,1000,998,19,10,10,32,11,,0,2,,123
2013-05-18,16,13,10,9,8,6,88,74,44,1007,1002,998,31,11,10,39,14,55,1.02,7,Rain,247
2013-05-19,16,12,9,10,8,5,93,75,50,1019,1014,1007,31,10,7,32,21,47,3.05,6,Rain-Thunderstorm,262
2013-05-20,17,12,6,8,6,4,93,68,38,1020,1019,1018,26,10,10,24,13,,0,6,,280
2013-05-21,12,9,7,10,8,5,94,85,71,1021,1019,1017,31,10,6,24,14,,3.05,7,Rain,262
2013-05-22,18,14,11,13,11,8,100,87,55,1019,1017,1015,31,10,3,29,23,,1.02,8,Rain,284
2013-05-23,16,13,10,11,9,4,94,77,42,1019,1017,1015,31,11,10,37,24,58,0.51,7,Rain,279
2013-05-24,13,10,7,8,6,4,93,79,58,1018,1017,1016,26,10,6,32,24,50,3.05,6,Rain,273
2013-05-25,16,11,7,9,6,3,93,73,38,1022,1018,1016,26,10,5,45,26,64,3.05,6,Rain,289
2013-05-26,18,11,3,6,4,1,93,60,24,1023,1019,1015,31,10,10,13,6,,0,1,,3
2013-05-27,21,14,7,10,7,4,87,65,39,1015,1011,1008,19,10,10,23,10,,0,6,,135
2013-05-28,14,12,10,11,9,6,94,82,62,1012,1009,1005,24,11,6,37,14,58,5.08,7,Rain,241
2013-05-29,13,10,7,8,6,5,87,75,51,1013,1010,1009,31,11,10,37,23,55,0,6,Rain,261
2013-05-30,14,11,8,12,9,7,94,86,72,1014,1013,1012,31,10,5,37,23,,6.1,7,Rain,267
2013-05-31,18,14,11,12,11,9,94,79,55,1020,1015,1012,31,10,6,39,26,,8.89,7,Rain,300
2013-06-01,20,16,12,13,12,10,88,78,55,1023,1021,1020,31,11,9,34,27,,0.76,7,Rain,282
2013-06-02,20,16,12,14,12,10,94,82,62,1024,1022,1021,31,10,10,32,24,,0,7,,276
2013-06-03,22,16,10,12,9,7,100,67,30,1023,1021,1018,31,10,10,26,19,,0,3,,283
2013-06-04,22,14,8,10,8,6,88,61,31,1019,1016,1015,31,10,10,16,10,,0,4,,291
2013-06-05,26,19,12,13,11,9,88,61,32,1016,1014,1012,10,10,10,24,8,,0,5,,141
2013-06-06,26,19,13,14,12,9,82,64,38,1017,1015,1013,31,11,10,32,19,,0,1,,137
2013-06-07,26,20,14,15,12,8,77,60,39,1017,1015,1012,10,10,10,24,16,,0,8,,135
2013-06-08,18,16,14,15,13,10,94,80,66,1013,1012,1010,31,10,9,24,13,,12.95,7,Rain-Thunderstorm,200
2013-06-09,18,16,12,13,12,11,94,86,68,1014,1010,1008,31,10,8,27,8,,8.89,6,Rain,198
2013-06-10,20,17,13,14,13,11,94,81,60,1018,1016,1014,26,10,7,32,18,,0.25,6,Rain,273
2013-06-11,24,18,12,15,13,11,94,73,47,1021,1019,1018,29,11,10,19,6,,0,6,,292
2013-06-12,28,21,14,17,15,13,94,65,34,1022,1021,1018,18,10,10,11,5,,0,2,,1
2013-06-13,19,17,15,17,15,13,94,82,64,1024,1021,1018,19,10,6,39,10,,0.25,8,Rain,284
2013-06-14,27,20,13,17,14,12,94,73,46,1024,1018,1015,31,10,10,13,8,,0,3,,346
2013-06-15,23,20,16,16,13,10,88,66,40,1020,1019,1017,31,11,10,19,11,,0,6,,313
2013-06-16,29,22,14,17,14,12,88,61,37,1018,1013,1009,23,11,10,32,11,,0,1,,132
2013-06-17,27,22,18,18,16,13,94,70,40,1013,1008,1005,31,11,6,48,26,69,5.08,6,Rain-Thunderstorm,139
2013-06-18,24,19,15,18,17,15,100,90,67,1013,1012,1010,19,9,5,35,11,100,4.06,7,Rain-Thunderstorm,262
2013-06-19,18,16,14,15,13,12,100,85,65,1017,1013,1010,31,10,2,19,11,,4.06,8,Rain-Thunderstorm,276
2013-06-20,21,17,13,13,12,11,94,77,54,1021,1017,1016,31,10,5,34,11,,0,7,Rain,267
2013-06-21,18,16,13,15,12,10,94,81,68,1023,1020,1018,14,10,10,23,8,,1.02,7,Rain,271
2013-06-22,23,18,12,14,12,11,94,72,43,1024,1023,1021,14,10,10,24,13,,0.25,6,Rain,292
2013-06-23,20,17,14,14,11,6,88,68,40,1027,1024,1023,18,10,10,40,21,,0.25,7,,294
2013-06-24,18,14,11,10,9,7,94,69,45,1028,1028,1027,31,10,10,24,19,,0,7,,295
2013-06-25,22,17,12,11,9,7,82,61,36,1028,1027,1026,10,10,10,23,11,,0,5,,319
2013-06-26,23,17,11,11,8,7,77,56,29,1028,1027,1025,10,10,10,21,13,,0,1,,320
2013-06-27,23,17,10,11,9,7,94,57,30,1026,1025,1024,31,11,10,26,13,,0,1,,306
2013-06-28,21,18,14,15,12,9,88,68,47,1027,1025,1025,31,11,10,29,16,,0.25,7,,284
2013-06-29,22,19,15,15,13,12,88,73,56,1028,1027,1026,31,11,10,24,19,,0,7,,286
2013-06-30,26,21,16,15,14,13,88,70,42,1027,1024,1020,10,10,10,21,14,,0,6,,315
